"Package","Version","Priority","LibPath"
"CompQuadForm","1.4.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"DBI","1.3.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"Deriv","4.2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"DiagrammeR","1.0.12",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"DiagrammeRsvg","0.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"Formula","1.2-5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"Hmisc","5.2-6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"MLEcens","0.1-7.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"MatrixModels","0.5-4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"QuickJSR","1.10.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"R6","2.6.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"RColorBrewer","1.1-3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"ROI","1.0-2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"ROI.plugin.lpsolve","1.0-2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"RPostgreSQL","0.7-8",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"RPostgres","1.4.10",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"Rcpp","1.1.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"RcppArmadillo","15.4.0-1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"RcppEigen","0.3.4.0.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"Rdpack","2.6.6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"S7","0.2.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"SQUAREM","2026.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"SparseM","1.84-2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"TH.data","1.1-5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"TTR","0.24.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"V8","8.2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"abind","1.4-8",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"arg","0.1.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"askpass","1.2.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"assertthat","0.2.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"backports","1.5.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"base64enc","0.1-3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"bayestestR","0.18.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"bdsmatrix","1.3-7",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"bigD","0.3.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"bit","4.6.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"bit64","4.6.0-1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"bitops","1.0-9",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"blob","1.3.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"brglm2","1.1.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"brio","1.1.5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"broom","1.0.13",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"bslib","0.9.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"caTools","1.18.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"cachem","1.1.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"callr","3.7.6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"car","3.1-5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"carData","3.0-6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"cards","0.8.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"cardx","0.3.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"cellranger","1.1.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"checkmate","2.3.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"cli","3.6.5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"clipr","0.8.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"clock","0.7.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"clubSandwich","0.7.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"cmprsk","2.2-12",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"colorspace","2.1-2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"commonmark","2.0.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"conflicted","1.2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"corrplot","0.95",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"cpp11","0.5.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"crayon","1.5.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"crosstalk","1.2.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"curl","7.0.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"data.table","1.18.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"datawizard","1.3.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"dbplyr","2.5.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"desc","1.4.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"detectseparation","0.4.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"diagram","1.6.5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"digest","0.6.39",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"distributional","0.8.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"doBy","4.7.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"doParallel","1.0.17",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"dplyr","1.2.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"dtplyr","1.3.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"e1071","1.7-17",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"emmeans","2.0.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"enrichwith","0.5.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"estimability","2.0.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"etm","1.1.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"evaluate","1.0.5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fansi","1.0.7",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"farver","2.1.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fastGHQuad","1.0.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fastmap","1.2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fontBitstreamVera","0.1.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fontLiberation","0.1.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fontawesome","0.5.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fontquiver","0.2.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"forcats","1.0.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"foreach","1.5.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"forecast","9.0.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"forestplot","3.2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"formula.tools","1.7.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fracdiff","1.5-4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"fs","1.6.6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"furrr","0.4.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"future","1.70.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"future.apply","1.20.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gargle","1.6.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gdata","3.0.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gdtools","0.5.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"generics","0.1.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"ggplot2","4.0.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"glmnet","5.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"globals","0.19.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"glue","1.8.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gmodels","2.19.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gmp","0.7-5.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"googledrive","2.1.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"googlesheets4","1.1.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gower","1.0.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gplots","3.3.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gridExtra","2.3.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gtable","0.3.6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"gtools","3.9.5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"hardhat","1.4.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"haven","2.5.5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"here","1.0.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"highr","0.11",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"hms","1.1.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"htmlTable","2.5.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"htmltools","0.5.9",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"htmlwidgets","1.6.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"httr","1.4.7",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"hunspell","3.0.6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"ids","1.0.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"igraph","2.3.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"inline","0.3.21",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"ipred","0.9-15",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"isoband","0.3.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"iterators","1.0.14",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"jomo","2.7-6",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"jpeg","0.1-11",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"jquerylib","0.1.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"jsonlite","2.0.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"juicyjuice","0.1.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"knitr","1.51",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"labeling","0.4.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"labelled","2.16.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lava","1.9.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lazyeval","0.2.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lcmm","2.2.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lifecycle","1.0.5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"listenv","1.0.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lme4","2.0-1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lmtest","0.9-40",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"logistf","1.26.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"loo","2.10.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lpSolveAPI","5.5.2.0-17.15",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lsoda","1.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"lubridate","1.9.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"magrittr","2.0.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"markdown","2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"marqLevAlg","2.0.8",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"matrixStats","1.5.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"mclust","6.1.3",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"memoise","2.0.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"mgcv","1.9-4","recommended","C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"mice","3.19.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"miceadds","3.20-10",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"mime","0.13",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"minqa","1.2.8",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"miscTools","0.6-30",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"mitml","0.4-5",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"mitools","2.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"modelenv","0.2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"modelr","0.1.11",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"multcomp","1.4-30",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"mvtnorm","1.4-1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"nleqslv","3.3.7",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"nloptr","2.2.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"numDeriv","2016.8-1.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"openssl","2.3.4",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"openxlsx","4.2.8.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"operator.tools","1.6.3.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"pROC","1.19.0.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"palmerpenguins","0.1.1",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"pan","2.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"parallelly","1.48.0",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
"patchwork","1.3.2",NA,"C:/Users/LEGION/AppData/Local/R/win-library/4.5"
