model,repeat,fold,params_key,validation_log_loss,validation_brier
model12h_level_only,1,1,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.2965046962102254,0.08365882933139801
model12h_level_only,1,2,"{""C"":1.0,""l1_ratio"":1.0,""penalty"":""elasticnet""}",0.2882623275121053,0.08125799894332886
model12h_level_only,1,3,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.29973334074020386,0.08384480824073155
model12h_level_only,1,4,"{""C"":1.0,""l1_ratio"":0.0,""penalty"":""elasticnet""}",0.2912067770957947,0.08185175061225891
model12h_level_only,1,5,"{""C"":0.1,""l1_ratio"":1.0,""penalty"":""elasticnet""}",0.29710865020751953,0.08301055431365967
model12h_level_only,2,1,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.3008861045042674,0.08392307907342911
model12h_level_only,2,2,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.2932363947232564,0.08260988692442577
model12h_level_only,2,3,"{""C"":1.0,""l1_ratio"":1.0,""penalty"":""elasticnet""}",0.2872375150521596,0.08106054862340291
model12h_level_only,2,4,"{""C"":0.1,""l1_ratio"":0.0,""penalty"":""elasticnet""}",0.29533591866493225,0.08223089575767517
model12h_level_only,2,5,"{""C"":0.1,""l1_ratio"":0.0,""penalty"":""elasticnet""}",0.28980279962221783,0.0821755255262057
model12h_level_only,3,1,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.29508140683174133,0.0826523130138715
model12h_level_only,3,2,"{""C"":0.1,""l1_ratio"":0.0,""penalty"":""elasticnet""}",0.2929929395516713,0.0822431097428004
model12h_level_only,3,3,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.2934107780456543,0.0823849414785703
model12h_level_only,3,4,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.298997163772583,0.08408718556165695
model12h_level_only,3,5,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.29336148500442505,0.08252252638339996
model12h_level_only,4,1,"{""C"":0.1,""l1_ratio"":0.0,""penalty"":""elasticnet""}",0.29793787995974225,0.08346706132094066
model12h_level_only,4,2,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.29516444603602093,0.0833515152335167
model12h_level_only,4,3,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.29228584965070087,0.08158201227585475
model12h_level_only,4,4,"{""C"":1.0,""l1_ratio"":0.0,""penalty"":""elasticnet""}",0.286880890528361,0.08072096606095631
model12h_level_only,4,5,"{""C"":1.0,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.2927662531534831,0.08189989626407623
model12h_level_only,5,1,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.2989322443803151,0.08406052738428116
model12h_level_only,5,2,"{""C"":1.0,""l1_ratio"":1.0,""penalty"":""elasticnet""}",0.28490594029426575,0.07984374711910884
model12h_level_only,5,3,"{""C"":0.1,""l1_ratio"":1.0,""penalty"":""elasticnet""}",0.30286872386932373,0.08508232235908508
model12h_level_only,5,4,"{""C"":0.1,""l1_ratio"":0.5,""penalty"":""elasticnet""}",0.2941876749197642,0.08236480504274368
model12h_level_only,5,5,"{""C"":0.1,""l1_ratio"":0.0,""penalty"":""elasticnet""}",0.2901044984658559,0.08160146077473958
