dataset,order,stage,n
MIMIC-IV,1,raw_icu,94458
MIMIC-IV,2,adult,94458
MIMIC-IV,3,major_abdominal_surgery_evidence,2134
MIMIC-IV,4,postoperative_aligned,1881
MIMIC-IV,5,first_eligible,1792
MIMIC-IV,6,landmark_alive_and_in_icu,1741
MIMIC-IV,7,outcome_constructible,1740
MIMIC-IV,8,final_n,1740
MIMIC-IV,9,death28_events,168
SICdb,1,raw_icu,27350
SICdb,2,adult,27223
SICdb,3,major_abdominal_surgery_evidence,2868
SICdb,4,postoperative_aligned,2864
SICdb,5,first_eligible,2540
SICdb,6,landmark_alive_and_in_icu,2376
SICdb,7,outcome_constructible,2376
SICdb,8,final_n,2376
SICdb,9,death28_events,185
