dataset,representation,model,curve,x,y
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.0,0.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.01,0.0519
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.02,0.10376
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.03,0.13565
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.04,0.15095
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.05,0.16825
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.06,0.18299
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.07,0.19849
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.08,0.22726
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.09,0.23171
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.1,0.26905
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.11,0.30348
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.12,0.31957
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.13,0.32384
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.14,0.32719
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.15,0.35385
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.16,0.37071
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.17,0.38456
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.18,0.40095
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.19,0.41148
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.2,0.42905
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.21,0.45869
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.22,0.46978
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.23,0.47965
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.24,0.49513
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.25,0.50262
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.26,0.52017
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.27,0.53378
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.28,0.54402
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.29,0.55489
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.3,0.55791
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.31,0.56243
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.32,0.56693
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.33,0.56976
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.34,0.57263
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.35,0.57556
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.36,0.59317
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.37,0.6091
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.38,0.62405
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.39,0.64006
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.4,0.64864
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.41,0.65626
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.42,0.66851
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.43,0.68593
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.44,0.69039
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.45,0.69484
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.46,0.69978
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.47,0.72053
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.48,0.72604
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.49,0.73821
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.5,0.74471
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.51,0.75734
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.52,0.77395
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.53,0.77551
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.54,0.77707
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.55,0.77863
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.56,0.7849
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.57,0.7943
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.58,0.79747
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.59,0.80064
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.6,0.80422
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.61,0.81173
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.62,0.82027
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.63,0.8255
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.64,0.83188
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.65,0.8459
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.66,0.84808
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.67,0.85025
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.68,0.8675
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.69,0.8739
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.7,0.88397
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.71,0.88813
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.72,0.89229
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.73,0.89574
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.74,0.89907
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.75,0.9023
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.76,0.90538
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.77,0.90798
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.78,0.91058
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.79,0.93438
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.8,0.94474
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.81,0.9481
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.82,0.95022
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.83,0.95235
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.84,0.96687
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.85,0.96989
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.86,0.97119
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.87,0.97227
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.88,0.97334
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.89,0.97442
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.9,0.97549
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.91,0.97948
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.92,0.98462
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.93,0.98809
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.94,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.95,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.96,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.97,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.98,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,0.99,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,ROC,1.0,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.0,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.01,0.44667
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.02,0.336
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.03,0.2793
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.04,0.34042
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.05,0.3527
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.06,0.37217
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.07,0.38848
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.08,0.38961
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.09,0.38529
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.1,0.34472
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.11,0.34286
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.12,0.34474
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.13,0.33508
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.14,0.30957
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.15,0.29061
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.16,0.26844
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.17,0.26233
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.18,0.23954
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.19,0.22981
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.2,0.23268
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.21,0.23388
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.22,0.23422
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.23,0.22264
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.24,0.21681
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.25,0.22222
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.26,0.22548
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.27,0.22375
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.28,0.22707
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.29,0.22703
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.3,0.22869
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.31,0.22996
MIMIC-IV internal OOF,patient_mean_5_repeats,model0_snapshot,PR,0.32,0.22098
