representation,model,bin,n,mean_predicted,observed,events
hourly_median,model0_snapshot,0,238,0.0211993344128131,0.0168067226890756,4
hourly_median,model0_snapshot,1,238,0.0347192101180553,0.042016806722689,10
hourly_median,model0_snapshot,2,237,0.0444767288863658,0.0210970464135021,5
hourly_median,model0_snapshot,3,238,0.0531897097826004,0.042016806722689,10
hourly_median,model0_snapshot,4,237,0.0625832825899124,0.0379746835443038,9
hourly_median,model0_snapshot,5,238,0.0737564489245414,0.0336134453781512,8
hourly_median,model0_snapshot,6,237,0.0859795436263084,0.0886075949367088,21
hourly_median,model0_snapshot,7,238,0.0992414653301239,0.1092436974789916,26
hourly_median,model0_snapshot,8,237,0.1214353665709495,0.1434599156118143,34
hourly_median,model0_snapshot,9,238,0.1821603178977966,0.2436974789915966,58
hourly_median,model1_elastic_net,0,238,0.0135571714490652,0.0126050420168067,3
hourly_median,model1_elastic_net,1,238,0.0227134302258491,0.0294117647058823,7
hourly_median,model1_elastic_net,2,237,0.0292641185224056,0.0295358649789029,7
hourly_median,model1_elastic_net,3,238,0.036244336515665,0.0294117647058823,7
hourly_median,model1_elastic_net,4,237,0.0439570695161819,0.0379746835443038,9
hourly_median,model1_elastic_net,5,238,0.0518751963973045,0.0210084033613445,5
hourly_median,model1_elastic_net,6,237,0.0618788413703441,0.050632911392405,12
hourly_median,model1_elastic_net,7,238,0.0762014165520668,0.0966386554621848,23
hourly_median,model1_elastic_net,8,237,0.0978479161858558,0.1940928270042194,46
hourly_median,model1_elastic_net,9,238,0.19663667678833,0.2773109243697479,66
hourly_median,model2_xgboost,0,238,0.0228631664067506,0.0210084033613445,5
hourly_median,model2_xgboost,1,238,0.0294442828744649,0.0294117647058823,7
hourly_median,model2_xgboost,2,237,0.0345027148723602,0.0295358649789029,7
hourly_median,model2_xgboost,3,238,0.0402966737747192,0.0294117647058823,7
hourly_median,model2_xgboost,4,237,0.0463418774306774,0.0379746835443038,9
hourly_median,model2_xgboost,5,238,0.053052581846714,0.0294117647058823,7
hourly_median,model2_xgboost,6,237,0.0626195222139358,0.0970464135021097,23
hourly_median,model2_xgboost,7,238,0.0750676020979881,0.0798319327731092,19
hourly_median,model2_xgboost,8,237,0.0964473113417625,0.160337552742616,38
hourly_median,model2_xgboost,9,238,0.202345386147499,0.2647058823529412,63
hourly_median,model3_grud,0,238,0.0348462002633624,0.0252100840336134,6
hourly_median,model3_grud,1,238,0.0576072785408557,0.0210084033613445,5
hourly_median,model3_grud,2,237,0.0737404207451434,0.050632911392405,12
hourly_median,model3_grud,3,238,0.0911458696575224,0.0252100840336134,6
hourly_median,model3_grud,4,237,0.1133754094001613,0.0337552742616033,8
hourly_median,model3_grud,5,238,0.140405805859746,0.0672268907563025,16
hourly_median,model3_grud,6,237,0.1765728143951561,0.1012658227848101,24
hourly_median,model3_grud,7,238,0.2293691722785725,0.0966386554621848,23
hourly_median,model3_grud,8,237,0.3310508753176983,0.1139240506329113,27
hourly_median,model3_grud,9,238,0.6153515934192834,0.2436974789915966,58
sparse_phase_00,model0_snapshot,0,238,0.0349812358617782,0.0378151260504201,9
sparse_phase_00,model0_snapshot,1,238,0.0574231185019016,0.042016806722689,10
sparse_phase_00,model0_snapshot,2,268,0.076783187687397,0.0335820895522388,9
sparse_phase_00,model0_snapshot,3,210,0.0943273603916168,0.0380952380952381,8
sparse_phase_00,model0_snapshot,4,234,0.1127626746892929,0.0683760683760683,16
sparse_phase_00,model0_snapshot,5,238,0.1332229226827621,0.0798319327731092,19
sparse_phase_00,model0_snapshot,6,245,0.1565708667039871,0.0612244897959183,15
sparse_phase_00,model0_snapshot,7,241,0.1819822639226913,0.0829875518672199,20
sparse_phase_00,model0_snapshot,8,252,0.2181985974311828,0.1388888888888889,35
sparse_phase_00,model0_snapshot,9,212,0.2921231389045715,0.2075471698113207,44
sparse_phase_00,model1_elastic_net,0,238,0.019309714436531,0.0168067226890756,4
sparse_phase_00,model1_elastic_net,1,238,0.0319016948342323,0.0252100840336134,6
sparse_phase_00,model1_elastic_net,2,237,0.0415771529078483,0.0379746835443038,9
sparse_phase_00,model1_elastic_net,3,238,0.0517028272151947,0.0294117647058823,7
sparse_phase_00,model1_elastic_net,4,237,0.0619567185640335,0.0210970464135021,5
sparse_phase_00,model1_elastic_net,5,238,0.0740795284509658,0.0378151260504201,9
sparse_phase_00,model1_elastic_net,6,237,0.0894397646188736,0.1012658227848101,24
sparse_phase_00,model1_elastic_net,7,238,0.1110519170761108,0.1050420168067226,25
sparse_phase_00,model1_elastic_net,8,237,0.1508140861988067,0.1392405063291139,33
sparse_phase_00,model1_elastic_net,9,238,0.3120169043540954,0.2647058823529412,63
sparse_phase_00,model2_xgboost,0,238,0.0242836419492959,0.0168067226890756,4
sparse_phase_00,model2_xgboost,1,238,0.0325909256935119,0.0252100840336134,6
sparse_phase_00,model2_xgboost,2,237,0.0392992682754993,0.0253164556962025,6
sparse_phase_00,model2_xgboost,3,238,0.0463812686502933,0.0210084033613445,5
sparse_phase_00,model2_xgboost,4,237,0.0541325509548187,0.0421940928270042,10
sparse_phase_00,model2_xgboost,5,238,0.0639528781175613,0.0714285714285714,17
sparse_phase_00,model2_xgboost,6,237,0.0764686614274978,0.080168776371308,19
sparse_phase_00,model2_xgboost,7,238,0.0931791067123413,0.1092436974789916,26
sparse_phase_00,model2_xgboost,8,237,0.1335476636886596,0.1350210970464135,32
sparse_phase_00,model2_xgboost,9,238,0.2868284285068512,0.2521008403361344,60
sparse_phase_00,model3_grud,0,238,0.0448058172747367,0.0168067226890756,4
sparse_phase_00,model3_grud,1,238,0.0776929042982954,0.0462184873949579,11
sparse_phase_00,model3_grud,2,237,0.1064374470761053,0.0168776371308016,4
sparse_phase_00,model3_grud,3,238,0.1380430734520699,0.0336134453781512,8
sparse_phase_00,model3_grud,4,237,0.1802968726127962,0.0421940928270042,10
sparse_phase_00,model3_grud,5,238,0.2407911935774218,0.0966386554621848,23
sparse_phase_00,model3_grud,6,237,0.3180127267093095,0.0759493670886076,18
sparse_phase_00,model3_grud,7,238,0.4446468573658406,0.1008403361344537,24
sparse_phase_00,model3_grud,8,237,0.6364146327670617,0.0970464135021097,23
sparse_phase_00,model3_grud,9,238,0.8473810896653087,0.2521008403361344,60
sparse_phase_15,model0_snapshot,0,238,0.0263864677399396,0.042016806722689,10
sparse_phase_15,model0_snapshot,1,238,0.04402781650424,0.042016806722689,10
sparse_phase_15,model0_snapshot,2,237,0.057124026119709,0.0253164556962025,6
sparse_phase_15,model0_snapshot,3,238,0.0714508220553398,0.0462184873949579,11
sparse_phase_15,model0_snapshot,4,240,0.0855840966105461,0.0416666666666666,10
sparse_phase_15,model0_snapshot,5,246,0.1008689701557159,0.065040650406504,16
sparse_phase_15,model0_snapshot,6,226,0.1201124265789985,0.1238938053097345,28
sparse_phase_15,model0_snapshot,7,238,0.1466454267501831,0.1428571428571428,34
sparse_phase_15,model0_snapshot,8,237,0.1837839037179947,0.0548523206751054,13
sparse_phase_15,model0_snapshot,9,238,0.2837847471237182,0.1974789915966386,47
sparse_phase_15,model1_elastic_net,0,238,0.0179284233599901,0.0126050420168067,3
sparse_phase_15,model1_elastic_net,1,238,0.0298341047018766,0.0294117647058823,7
sparse_phase_15,model1_elastic_net,2,237,0.0391335897147655,0.0253164556962025,6
sparse_phase_15,model1_elastic_net,3,238,0.0483618527650833,0.0378151260504201,9
sparse_phase_15,model1_elastic_net,4,237,0.0579872913658618,0.0337552742616033,8
sparse_phase_15,model1_elastic_net,5,238,0.0694596096873283,0.0462184873949579,11
sparse_phase_15,model1_elastic_net,6,237,0.0849084109067916,0.0590717299578059,14
sparse_phase_15,model1_elastic_net,7,238,0.105277419090271,0.1302521008403361,31
sparse_phase_15,model1_elastic_net,8,237,0.1414024233818054,0.1434599156118143,34
sparse_phase_15,model1_elastic_net,9,238,0.2948356866836548,0.2605042016806723,62
sparse_phase_15,model2_xgboost,0,238,0.0239740908145904,0.0210084033613445,5
sparse_phase_15,model2_xgboost,1,238,0.0322212874889373,0.0168067226890756,4
sparse_phase_15,model2_xgboost,2,237,0.0385140366852283,0.0379746835443038,9
sparse_phase_15,model2_xgboost,3,238,0.0451393835246562,0.0336134453781512,8
sparse_phase_15,model2_xgboost,4,237,0.0522379092872142,0.0210970464135021,5
sparse_phase_15,model2_xgboost,5,238,0.0618149489164352,0.0714285714285714,17
sparse_phase_15,model2_xgboost,6,237,0.0733464285731315,0.0886075949367088,21
sparse_phase_15,model2_xgboost,7,238,0.0898428410291671,0.1092436974789916,26
sparse_phase_15,model2_xgboost,8,237,0.1269729733467102,0.1012658227848101,24
sparse_phase_15,model2_xgboost,9,238,0.2716707587242126,0.2773109243697479,66
sparse_phase_15,model3_grud,0,238,0.0431497911687846,0.0294117647058823,7
sparse_phase_15,model3_grud,1,238,0.0719463215561724,0.0252100840336134,6
sparse_phase_15,model3_grud,2,237,0.097457731260529,0.0295358649789029,7
sparse_phase_15,model3_grud,3,238,0.1256493199773195,0.042016806722689,10
sparse_phase_15,model3_grud,4,237,0.1624086758255455,0.0632911392405063,15
sparse_phase_15,model3_grud,5,238,0.2119759626749183,0.0588235294117647,14
sparse_phase_15,model3_grud,6,237,0.2804707408831592,0.0759493670886076,18
sparse_phase_15,model3_grud,7,238,0.3932587520665481,0.1092436974789916,26
sparse_phase_15,model3_grud,8,237,0.580265535583979,0.1181434599156118,28
sparse_phase_15,model3_grud,9,238,0.8208794588802242,0.226890756302521,54
sparse_phase_30,model0_snapshot,0,238,0.0230005048215389,0.0126050420168067,3
sparse_phase_30,model0_snapshot,1,238,0.0381362326443195,0.0504201680672268,12
sparse_phase_30,model0_snapshot,2,237,0.0486263968050479,0.0210970464135021,5
sparse_phase_30,model0_snapshot,3,238,0.0596244074404239,0.0462184873949579,11
sparse_phase_30,model0_snapshot,4,237,0.0708231851458549,0.0379746835443038,9
sparse_phase_30,model0_snapshot,5,238,0.0836870819330215,0.0924369747899159,22
sparse_phase_30,model0_snapshot,6,237,0.0987051948904991,0.0590717299578059,14
sparse_phase_30,model0_snapshot,7,238,0.1175286918878555,0.1008403361344537,24
sparse_phase_30,model0_snapshot,8,243,0.1513984501361847,0.1152263374485596,28
sparse_phase_30,model0_snapshot,9,232,0.2534741759300232,0.2456896551724137,57
sparse_phase_30,model1_elastic_net,0,238,0.0167409386485815,0.0168067226890756,4
sparse_phase_30,model1_elastic_net,1,238,0.0277095716446638,0.0336134453781512,8
sparse_phase_30,model1_elastic_net,2,237,0.0360751412808895,0.0295358649789029,7
sparse_phase_30,model1_elastic_net,3,238,0.045418482273817,0.0252100840336134,6
sparse_phase_30,model1_elastic_net,4,237,0.0551321022212505,0.0295358649789029,7
sparse_phase_30,model1_elastic_net,5,238,0.0665718838572502,0.0504201680672268,12
sparse_phase_30,model1_elastic_net,6,237,0.0803789943456649,0.0548523206751054,13
sparse_phase_30,model1_elastic_net,7,238,0.0996889695525169,0.1008403361344537,24
sparse_phase_30,model1_elastic_net,8,237,0.1342653334140777,0.1729957805907173,41
sparse_phase_30,model1_elastic_net,9,238,0.2865451872348785,0.2647058823529412,63
sparse_phase_30,model2_xgboost,0,238,0.0233468357473611,0.0252100840336134,6
sparse_phase_30,model2_xgboost,1,238,0.0309489723294973,0.0126050420168067,3
sparse_phase_30,model2_xgboost,2,237,0.037541925907135,0.0379746835443038,9
sparse_phase_30,model2_xgboost,3,238,0.0443751774728298,0.0084033613445378,2
sparse_phase_30,model2_xgboost,4,237,0.0511703938245773,0.0548523206751054,13
sparse_phase_30,model2_xgboost,5,238,0.05956507101655,0.0630252100840336,15
sparse_phase_30,model2_xgboost,6,237,0.0714851394295692,0.0717299578059071,17
sparse_phase_30,model2_xgboost,7,238,0.087087295949459,0.1176470588235294,28
sparse_phase_30,model2_xgboost,8,237,0.1221993863582611,0.1139240506329113,27
sparse_phase_30,model2_xgboost,9,238,0.2712700068950653,0.2731092436974789,65
sparse_phase_30,model3_grud,0,238,0.0408229954313768,0.0168067226890756,4
sparse_phase_30,model3_grud,1,238,0.0683516672491526,0.0378151260504201,9
sparse_phase_30,model3_grud,2,237,0.0933831695954507,0.0421940928270042,10
sparse_phase_30,model3_grud,3,238,0.1220349966853606,0.042016806722689,10
sparse_phase_30,model3_grud,4,237,0.1556707337058546,0.0379746835443038,9
sparse_phase_30,model3_grud,5,238,0.2007211811151825,0.0546218487394958,13
sparse_phase_30,model3_grud,6,237,0.2582496514048757,0.0464135021097046,11
sparse_phase_30,model3_grud,7,238,0.3531316577636895,0.1008403361344537,24
sparse_phase_30,model3_grud,8,237,0.5284243337967225,0.160337552742616,38
sparse_phase_30,model3_grud,9,238,0.8065325577719873,0.2394957983193277,57
sparse_phase_45,model0_snapshot,0,238,0.022559193894267,0.0210084033613445,5
sparse_phase_45,model0_snapshot,1,238,0.0373893342912197,0.0294117647058823,7
sparse_phase_45,model0_snapshot,2,237,0.0473916940391063,0.050632911392405,12
