model,contrast,metric,estimate,ci_low,ci_high,bootstrap_replicates,paired_patient_resampling
model1_elastic_net,5min_minus_60min,auroc,0.007288235498075668,-0.0007393495024399982,0.015579956364676798,2000,True
model1_elastic_net,5min_minus_60min,auprc,0.008508514497500952,-0.004524449425887882,0.02288785698420015,2000,True
model1_elastic_net,5min_minus_60min,brier,-0.00038303420518560893,-0.0008395711261684465,4.7537245784985554e-05,2000,True
model1_elastic_net,5min_minus_60min,log_loss,-0.0018298556937233479,-0.0036171306927492374,-0.00015620417989521503,2000,True
model2_xgboost,5min_minus_60min,auroc,0.018830831108491375,-0.0011904972367796584,0.040814731497579734,2000,True
model2_xgboost,5min_minus_60min,auprc,0.021422717399152857,-0.0048567482043625305,0.0503441195322835,2000,True
model2_xgboost,5min_minus_60min,brier,-0.000981276491775443,-0.0019003761620369085,-6.785860878415804e-05,2000,True
model2_xgboost,5min_minus_60min,log_loss,-0.004718082283891978,-0.009106011546133672,-0.0004707190025125741,2000,True
model3_grud,5min_minus_60min,auroc,0.0020248951145939165,-0.019874059543628083,0.023893345229588858,2000,True
model3_grud,5min_minus_60min,auprc,0.02511516015121204,-0.010415407720984779,0.053512721041689325,2000,True
model3_grud,5min_minus_60min,brier,0.0009005712419789258,-0.0034139044807292413,0.00502753401500559,2000,True
model3_grud,5min_minus_60min,log_loss,0.0036324441220786374,-0.006514819289261167,0.013196442896053618,2000,True
