resolution_min,n,events,model,metric,estimate,ci_low,ci_high,bootstrap_replicates
5,2061,151,model1_elastic_net,auroc,0.7524947123886134,0.710830312863472,0.7925638501834783,2000
5,2061,151,model1_elastic_net,auprc,0.2459026171536618,0.1862797704184484,0.3181271842646764,2000
5,2061,151,model1_elastic_net,brier,0.0620925041753105,0.0536872337437972,0.0707639277754111,2000
5,2061,151,model1_elastic_net,log_loss,0.2305788189058441,0.20523804213905,0.2568554873087188,2000
5,2061,151,model1_elastic_net,calibration_intercept,0.0003056505056806,-0.176034988644067,0.1588664655357647,2000
5,2061,151,model1_elastic_net,calibration_slope,1.126452943713914,0.9202071879040222,1.3499697322026178,2000
5,2061,151,model2_xgboost,auroc,0.7614715162442357,0.7186266404983378,0.8010973533884793,2000
5,2061,151,model2_xgboost,auprc,0.2308776688880226,0.1794547788763221,0.2992215542403563,2000
5,2061,151,model2_xgboost,brier,0.0622758104398694,0.0538039200974434,0.0706769496793206,2000
5,2061,151,model2_xgboost,log_loss,0.2300336654165607,0.20439837009918,0.2564912935439574,2000
5,2061,151,model2_xgboost,calibration_intercept,0.0210599198781427,-0.1534198616251259,0.1800761032091653,2000
5,2061,151,model2_xgboost,calibration_slope,1.120944647344331,0.929988978982135,1.3197404774059325,2000
5,2061,151,model3_grud,auroc,0.7503970042647621,0.711666275891615,0.7882501794590152,2000
5,2061,151,model3_grud,auprc,0.2522161194421052,0.1884069802870227,0.318463224551759,2000
5,2061,151,model3_grud,brier,0.1819413018206342,0.1745917693164357,0.1893888493829013,2000
5,2061,151,model3_grud,log_loss,0.5381502160239252,0.5209750235918569,0.5557059833744598,2000
5,2061,151,model3_grud,calibration_intercept,-2.4215838155784963,-2.6027148691305437,-2.2580487398455418,2000
5,2061,151,model3_grud,calibration_slope,0.9169626909424728,0.7566016893487776,1.089663787668355,2000
15,2061,151,model1_elastic_net,auroc,0.7524080302347352,0.7119116114219105,0.7916690374009054,2000
15,2061,151,model1_elastic_net,auprc,0.2467760940966006,0.1890270215954397,0.3172793112963003,2000
15,2061,151,model1_elastic_net,brier,0.0621954658909486,0.0531624617890241,0.0714695132626874,2000
15,2061,151,model1_elastic_net,log_loss,0.2308432902388092,0.20352441484224,0.2574944993839864,2000
15,2061,151,model1_elastic_net,calibration_intercept,0.0011702980206293,-0.1882707053122126,0.1669312299443898,2000
15,2061,151,model1_elastic_net,calibration_slope,1.122303802141624,0.9283539488937852,1.3318042418600298,2000
15,2061,151,model2_xgboost,auroc,0.7523352172254777,0.7094886884783032,0.7939936731530257,2000
15,2061,151,model2_xgboost,auprc,0.2203400164321182,0.1740048723923234,0.2868338621371218,2000
15,2061,151,model2_xgboost,brier,0.0628099607843278,0.0536284902494781,0.0720525796708425,2000
15,2061,151,model2_xgboost,log_loss,0.2324990713171734,0.2045212605584617,0.2596085871303817,2000
15,2061,151,model2_xgboost,calibration_intercept,0.0238613419783173,-0.161621465264759,0.1884231454336963,2000
15,2061,151,model2_xgboost,calibration_slope,1.0888554431098745,0.9053525133720216,1.2893531052312526,2000
15,2061,151,model3_grud,auroc,0.752047432474602,0.7128500678719585,0.7903434927329708,2000
15,2061,151,model3_grud,auprc,0.2503451861880292,0.1884030440183104,0.32196579885817,2000
15,2061,151,model3_grud,brier,0.1789962546726315,0.171120756699614,0.1865938042628585,2000
15,2061,151,model3_grud,log_loss,0.5292297294227065,0.510598541806393,0.5474918891995255,2000
15,2061,151,model3_grud,calibration_intercept,-2.414550937728888,-2.609315319249476,-2.244087075914779,2000
15,2061,151,model3_grud,calibration_slope,0.8590091023165666,0.7032484097136334,1.0297324342057608,2000
60,2061,151,model1_elastic_net,auroc,0.7452064768905378,0.7027498458011987,0.7854477518810035,2000
60,2061,151,model1_elastic_net,auprc,0.2373941026561608,0.182124116848596,0.3142235754887841,2000
60,2061,151,model1_elastic_net,brier,0.0624755383804961,0.0538696334283609,0.0710032052827059,2000
60,2061,151,model1_elastic_net,log_loss,0.2324086745995674,0.2059714304019674,0.2580218474281689,2000
60,2061,151,model1_elastic_net,calibration_intercept,0.0008163113191762,-0.1794094994361291,0.162796840630149,2000
60,2061,151,model1_elastic_net,calibration_slope,1.1175431106776157,0.9062404928344516,1.3371873176523488,2000
60,2061,151,model2_xgboost,auroc,0.7426406851357443,0.6965417999794451,0.7830484833084091,2000
60,2061,151,model2_xgboost,auprc,0.2094549514888698,0.1637607393266015,0.2761644926722454,2000
60,2061,151,model2_xgboost,brier,0.0632570869316449,0.0546487513474877,0.0721194875974675,2000
60,2061,151,model2_xgboost,log_loss,0.2347517477004526,0.2089836978637546,0.2620873967249701,2000
60,2061,151,model2_xgboost,calibration_intercept,0.0212107173797603,-0.1551036532359939,0.1828286648901009,2000
60,2061,151,model2_xgboost,calibration_slope,1.0520460676554333,0.8483224756084071,1.2447847198452684,2000
60,2061,151,model3_grud,auroc,0.7483721091501682,0.705492588919107,0.7875260614565531,2000
60,2061,151,model3_grud,auprc,0.2271009592908932,0.1715945394084858,0.2952204104490666,2000
60,2061,151,model3_grud,brier,0.1810407305786553,0.1731227613920254,0.189297553096455,2000
60,2061,151,model3_grud,log_loss,0.5345177719018466,0.5157294583625398,0.5538922768728738,2000
60,2061,151,model3_grud,calibration_intercept,-2.419775607850569,-2.6031190200142453,-2.249126136012988,2000
60,2061,151,model3_grud,calibration_slope,0.8310727816102588,0.66349504371157,1.0008515868774432,2000
