cohort,cohort_n,signal,resolution_min,paired_n,burden_signed_error_median_pp,burden_signed_error_q25_pp,burden_signed_error_q75_pp,burden_absolute_error_median_pp,burden_absolute_error_q25_pp,burden_absolute_error_q75_pp,burden_absolute_error_p90_pp,reference_event_positive_n,event_missed_n,event_miss_pct,reference_event_negative_n,false_positive_n,false_positive_pct,extreme_attenuation_median,extreme_attenuation_q25,extreme_attenuation_q75,extreme_attenuation_p90,sd_retention_median,sd_retention_q25,sd_retention_q75,masd_retention_median,masd_retention_q25,masd_retention_q75,burden_spearman_rho,slope_absolute_error_median
all,2376,HR,1,2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990,0,0.0,1386,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
all,2376,HR,5,2376,0.0,-0.56657223796034,0.0,0.1981534566263665,0.0,0.8548445673595223,2.050943997211432,990,0,0.0,1386,140,10.1010101010101,7.0,4.0,13.0,21.0,0.9347584440430716,0.8772336540600532,0.971236402170985,1.0,0.6666666666666666,1.0,0.9356314696569624,0.0232895542043057
all,2376,HR,15,2376,-0.0423066297890977,-0.9895615237876284,0.0,0.3039092379519926,0.0,1.4732453128361276,3.2533217378852965,990,77,7.777777777777778,1386,16,1.1544011544011543,11.0,6.0,18.0,28.0,0.8942959141576038,0.8092782647918555,0.9528963676936476,1.0,0.6666666666666666,1.0,0.889403102621509,0.0394030735530006
all,2376,HR,60,2376,-0.1388888888888889,-1.479914225337187,0.0,0.4261363636363636,0.0,2.765974756111913,6.258692628650904,990,282,28.484848484848484,1386,0,0.0,16.0,10.0,24.0,35.5,0.8346117050886521,0.7031389703699124,0.9343936561765996,1.5,1.0,2.5,0.8182626567357036,0.0610421460066397
all,2376,MAP,1,2374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507,0,0.0,867,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
all,2376,MAP,5,2235,-0.2904432243176575,-1.201417082802393,0.0,0.7092198581560272,0.2145243969079286,1.5734709317021949,2.5956073433927016,1507,0,0.0,728,142,19.505494505494507,9.000003814697266,3.9999961853027344,21.99999618530273,31.99999618530273,0.9187052634225904,0.8619562193891768,0.9570886423147378,1.0,0.9999923706054688,1.499938966240702,0.9837553996669576,0.0367997192487742
all,2376,MAP,15,2227,-0.4550050556117284,-2.3184807767662683,0.0,1.3943112102621305,0.3073039293833055,3.084757305793392,5.340798903959223,1507,73,4.844061048440611,720,21,2.9166666666666665,13.800018310546877,6.0,25.0000057220459,34.99999885559082,0.8514164272913378,0.7653296505946894,0.917472654423065,1.3333583412383745,1.0,1.9999923706345728,0.9653174990288512,0.0594347144954435
all,2376,MAP,60,2225,-1.0638297872340416,-5.128205128205129,0.0,2.904761904761905,0.556361877116597,6.751652502360713,11.160951254762844,1506,419,27.82204515272244,719,0,0.0,17.999996185302734,9.5,29.99999618530273,39.00000190734863,0.7611151661091989,0.6248154094710896,0.8795369881924205,2.0,1.4998855660665242,3.0,0.9034074082646676,0.1030983083784154
all,2376,SpO2,1,2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807,0,0.0,1568,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
all,2376,SpO2,5,2375,-0.316109422492401,-0.9922414231447084,0.0,0.4310344827586206,0.1422475106685633,1.0634871736352989,2.132491523754356,807,0,0.0,1568,420,26.785714285714285,3.5,1.5999984741210938,7.799995422363281,13.5,0.9108362715081776,0.8402358080129936,0.9585360247686442,1.0,0.8705334639403084,1.249995231646608,0.8933760610384596,0.0074231823857563
all,2376,SpO2,15,2373,-0.6006006006006006,-1.7569546120058566,-0.1404494382022472,0.7299270072992701,0.15625,1.9011406844106464,3.60303507766374,807,170,21.06567534076828,1566,33,2.10727969348659,5.099998474121094,2.5999984741210938,10.0,16.679997253417987,0.8493544166489001,0.7402493327247447,0.9251059525420816,1.2500071525983003,0.999987284471797,1.750004768353392,0.7415384575157453,0.0124881534353779
all,2376,SpO2,60,2371,-0.8832807570977916,-2.824864392544433,-0.1443001443001443,1.0115606936416186,0.2816901408450704,3.102968091032068,6.376811594202898,805,550,68.32298136645963,1566,0,0.0,6.549999237060547,3.7499961853027344,11.699996948242188,18.600006103515625,0.7397376551027437,0.5976668572961766,0.8704112962614823,1.999961853900439,1.1906215548617638,3.0000381475547417,0.5247996927619967,0.021210635032228
dense_core,2061,HR,1,2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835,0,0.0,1226,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0
dense_core,2061,HR,5,2061,0.0,-0.5561724134481689,0.0,0.1530474447078593,0.0,0.8379390265644506,1.9990903828661215,835,0,0.0,1226,119,9.706362153344209,7.0,4.0,13.0,21.0,0.936321484380329,0.8821542990356285,0.9716562738118388,1.0,0.6666666666666666,1.0,0.9320731849869772,0.0231276642029973
dense_core,2061,HR,15,2061,-0.0300516889049191,-0.9817671809256662,0.0,0.2881844380403458,0.0,1.4450867052023122,3.2320019205953843,835,65,7.7844311377245505,1226,13,1.0603588907014685,11.0,6.5,18.0,27.5,0.8963756856881794,0.8145188265309592,0.9530485795599984,1.0,0.6666666666666666,1.0,0.8846953062470496,0.0392119146079786
dense_core,2061,HR,60,2061,0.0,-1.3257575757575708,0.0,0.4201680672268907,0.0,2.6462395543175488,6.160458452722063,835,237,28.38323353293413,1226,0,0.0,16.0,10.0,24.0,35.0,0.8440300522072842,0.7064283332791035,0.9366541095675548,1.5,1.0,2.5,0.8122877345058521,0.0615975062415496
dense_core,2061,MAP,1,2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388,0,0.0,673,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0
dense_core,2061,MAP,5,2061,-0.2902757619738751,-1.173570019723866,0.0,0.7017543859649127,0.1839362354383809,1.516959768017596,2.516271501627145,1388,0,0.0,673,132,19.61367013372957,9.0,3.9999923706054688,21.99999618530273,31.499998092651367,0.9203054575233028,0.8682695626907184,0.9576992712239172,1.0,0.9999890329363516,1.333331849824861,0.9882864607672732,0.0361867519690608
dense_core,2061,MAP,15,2061,-0.463678516228748,-2.315038684719536,0.0,1.3553311696117305,0.3001715265866211,3.025265957446809,5.2867254080600885,1388,68,4.899135446685879,673,19,2.823179791976226,13.000003814697266,6.0,25.000003814697266,34.99999809265137,0.8544675648821978,0.7705978599830239,0.9196480593181288,1.3333324856249855,1.0,1.9999923706345728,0.9689798565978536,0.0585786795256951
dense_core,2061,MAP,60,2061,-1.0218978102189782,-5.095238095238095,0.0,2.761557177615572,0.4975922953451039,6.55226209048362,10.9864422627396,1388,392,28.24207492795389,673,0,0.0,17.499984741210938,9.000003814697266,29.000003814697266,38.99999809265137,0.7654573469205078,0.630057574833698,0.8836026572675986,2.0,1.4998836588342996,3.0,0.9033212651063778,0.1017051006810447
dense_core,2061,SpO2,1,2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671,0,0.0,1390,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dense_core,2061,SpO2,5,2061,-0.2994847574066122,-0.8865248226950354,0.0,0.423728813559322,0.1416374477526197,0.9881422924901182,1.969057665260197,671,0,0.0,1390,363,26.115107913669064,3.4000015258789062,1.5,7.6999969482421875,13.199996948242188,0.9139144251992352,0.8463699622603766,0.9604875936529006,1.0,0.9999237107110162,1.2678731026162935,0.8894127645561318,0.0071155522862008
dense_core,2061,SpO2,15,2061,-0.5689900426742532,-1.5942028985507246,-0.1260390721123521,0.7072135785007072,0.1464128843338213,1.7291066282420748,3.253182461103253,671,143,21.311475409836067,1390,27,1.9424460431654675,5.0,2.5,9.75,16.300003051757812,0.8544558420147992,0.751413247730285,0.9289702756472976,1.3332994252581252,1.0,1.833312140786328,0.7322673244390738,0.0122553650331182
