model,threshold,net_benefit
treat_none,0.02,0.0
treat_all,0.02,0.059042809042809
model0_snapshot,0.02,0.0594293272864701
model1_elastic_net,0.02,0.0600907029478458
model2_xgboost,0.02,0.0594379165807737
model3_grud,0.02,0.0592145949288806
treat_none,0.0499999999999999,0.0
treat_all,0.0499999999999999,0.0293283714336346
model0_snapshot,0.0499999999999999,0.0369041290093921
model1_elastic_net,0.0499999999999999,0.0416002126528442
model2_xgboost,0.0499999999999999,0.0404040404040404
model3_grud,0.0499999999999999,0.0321415913521176
treat_none,0.0999999999999999,0.0
treat_all,0.0999999999999999,-0.0245978301533856
model0_snapshot,0.0999999999999999,0.0208099513655069
model1_elastic_net,0.0999999999999999,0.0245510662177328
model2_xgboost,0.0999999999999999,0.0196408529741863
model3_grud,0.0999999999999999,0.0055649083426861
treat_none,0.1499999999999999,0.0
treat_all,0.1499999999999999,-0.0848682907506436
model0_snapshot,0.1499999999999999,0.0096306199247375
model1_elastic_net,0.1499999999999999,0.0143592790651614
model2_xgboost,0.1499999999999999,0.0105961576549811
model3_grud,0.1499999999999999,-0.0066844919786096
treat_none,0.1999999999999999,0.0
treat_all,0.1999999999999999,-0.1526725589225588
model0_snapshot,0.1999999999999999,0.0038930976430976
model1_elastic_net,0.1999999999999999,0.0090488215488215
model2_xgboost,0.1999999999999999,0.0077861952861952
model3_grud,0.1999999999999999,-0.0176767676767676
treat_none,0.2499999999999999,0.0
treat_all,0.2499999999999999,-0.2295173961840628
model0_snapshot,0.2499999999999999,0.0035072951739618
model1_elastic_net,0.2499999999999999,0.0060325476992143
model2_xgboost,0.2499999999999999,0.0037878787878787
model3_grud,0.2499999999999999,-0.0251122334455667
