representation,model,bin,n,events,mean_predicted,observed
hourly_median,model3_grud_unweighted,0,238,4,0.021070823034255944,0.01680672268907563
hourly_median,model3_grud_unweighted,1,238,7,0.03347224839219526,0.029411764705882353
hourly_median,model3_grud_unweighted,2,237,7,0.042669325186733456,0.029535864978902954
hourly_median,model3_grud_unweighted,3,238,9,0.050802600640459224,0.037815126050420166
hourly_median,model3_grud_unweighted,4,237,8,0.058818368547702136,0.03375527426160337
hourly_median,model3_grud_unweighted,5,238,8,0.0678240750454554,0.03361344537815126
hourly_median,model3_grud_unweighted,6,237,15,0.07831799421255095,0.06329113924050633
hourly_median,model3_grud_unweighted,7,238,20,0.09167253755095627,0.08403361344537816
hourly_median,model3_grud_unweighted,8,237,36,0.11332669684404059,0.1518987341772152
hourly_median,model3_grud_unweighted,9,238,71,0.1941863583291278,0.29831932773109243
sparse_phase_00,model3_grud_unweighted,0,238,4,0.022392584848366363,0.01680672268907563
sparse_phase_00,model3_grud_unweighted,1,238,7,0.035594999602361885,0.029411764705882353
sparse_phase_00,model3_grud_unweighted,2,237,11,0.044935000470921964,0.046413502109704644
sparse_phase_00,model3_grud_unweighted,3,238,5,0.0537238319819214,0.02100840336134454
sparse_phase_00,model3_grud_unweighted,4,237,6,0.06278497499378421,0.02531645569620253
sparse_phase_00,model3_grud_unweighted,5,238,9,0.07153801585571105,0.037815126050420166
sparse_phase_00,model3_grud_unweighted,6,237,19,0.08223276239532962,0.08016877637130802
sparse_phase_00,model3_grud_unweighted,7,238,20,0.09665421227447125,0.08403361344537816
sparse_phase_00,model3_grud_unweighted,8,237,39,0.12049014262760742,0.16455696202531644
sparse_phase_00,model3_grud_unweighted,9,238,65,0.21400900679726562,0.27310924369747897
sparse_phase_15,model3_grud_unweighted,0,238,4,0.02229127404475663,0.01680672268907563
sparse_phase_15,model3_grud_unweighted,1,238,7,0.03565167649766477,0.029411764705882353
sparse_phase_15,model3_grud_unweighted,2,237,8,0.04465362167119477,0.03375527426160337
sparse_phase_15,model3_grud_unweighted,3,238,10,0.05345501268611235,0.04201680672268908
sparse_phase_15,model3_grud_unweighted,4,237,5,0.06251928653520873,0.02109704641350211
sparse_phase_15,model3_grud_unweighted,5,238,12,0.0715215624693562,0.05042016806722689
sparse_phase_15,model3_grud_unweighted,6,237,13,0.0822299618258255,0.05485232067510549
sparse_phase_15,model3_grud_unweighted,7,238,23,0.09609786273927248,0.09663865546218488
sparse_phase_15,model3_grud_unweighted,8,237,36,0.12043871180417669,0.1518987341772152
sparse_phase_15,model3_grud_unweighted,9,238,67,0.21112320634747753,0.2815126050420168
sparse_phase_30,model3_grud_unweighted,0,238,4,0.02220308781061478,0.01680672268907563
sparse_phase_30,model3_grud_unweighted,1,238,7,0.035247015125047756,0.029411764705882353
sparse_phase_30,model3_grud_unweighted,2,237,9,0.04456721389281096,0.0379746835443038
sparse_phase_30,model3_grud_unweighted,3,238,10,0.053393278834449144,0.04201680672268908
sparse_phase_30,model3_grud_unweighted,4,237,4,0.06227537115666434,0.016877637130801686
sparse_phase_30,model3_grud_unweighted,5,238,11,0.07155074185433508,0.046218487394957986
sparse_phase_30,model3_grud_unweighted,6,237,11,0.08264605933603858,0.046413502109704644
sparse_phase_30,model3_grud_unweighted,7,238,26,0.09613599906824216,0.1092436974789916
sparse_phase_30,model3_grud_unweighted,8,237,40,0.1197929887517595,0.16877637130801687
sparse_phase_30,model3_grud_unweighted,9,238,63,0.21243343890464605,0.2647058823529412
sparse_phase_45,model3_grud_unweighted,0,238,4,0.02228662367722317,0.01680672268907563
sparse_phase_45,model3_grud_unweighted,1,238,8,0.03541555486525558,0.03361344537815126
sparse_phase_45,model3_grud_unweighted,2,237,9,0.044580613196147645,0.0379746835443038
sparse_phase_45,model3_grud_unweighted,3,238,8,0.05333201638853349,0.03361344537815126
sparse_phase_45,model3_grud_unweighted,4,237,5,0.06201931340659218,0.02109704641350211
sparse_phase_45,model3_grud_unweighted,5,238,10,0.07122477262961764,0.04201680672268908
sparse_phase_45,model3_grud_unweighted,6,237,18,0.08221108633003155,0.0759493670886076
sparse_phase_45,model3_grud_unweighted,7,238,23,0.09625037443362364,0.09663865546218488
sparse_phase_45,model3_grud_unweighted,8,237,36,0.11995005843382847,0.1518987341772152
sparse_phase_45,model3_grud_unweighted,9,238,64,0.2106990932541735,0.2689075630252101
sparse_phase_59,model3_grud_unweighted,0,238,4,0.022128317352509547,0.01680672268907563
sparse_phase_59,model3_grud_unweighted,1,238,8,0.035243040576827624,0.03361344537815126
sparse_phase_59,model3_grud_unweighted,2,237,9,0.04448238434859469,0.0379746835443038
sparse_phase_59,model3_grud_unweighted,3,238,7,0.053322545949275754,0.029411764705882353
sparse_phase_59,model3_grud_unweighted,4,237,5,0.06195849724082504,0.02109704641350211
sparse_phase_59,model3_grud_unweighted,5,238,15,0.07082470503299176,0.06302521008403361
sparse_phase_59,model3_grud_unweighted,6,237,10,0.08160832895256799,0.04219409282700422
sparse_phase_59,model3_grud_unweighted,7,238,23,0.09626346911076739,0.09663865546218488
sparse_phase_59,model3_grud_unweighted,8,237,40,0.11960639700859407,0.16877637130801687
sparse_phase_59,model3_grud_unweighted,9,238,64,0.2120980135783428,0.2689075630252101
