representation,model,bin,n,events,mean_predicted,observed
SICdb_hourly_median,weighted,0,238,6,0.03484620026336242,0.025210084033613446
SICdb_hourly_median,weighted,1,238,5,0.05760727854085565,0.02100840336134454
SICdb_hourly_median,weighted,2,237,12,0.07374042074514338,0.05063291139240506
SICdb_hourly_median,weighted,3,238,6,0.09114586965752246,0.025210084033613446
SICdb_hourly_median,weighted,4,237,8,0.11337540940016128,0.03375527426160337
SICdb_hourly_median,weighted,5,238,16,0.14040580585974602,0.06722689075630252
SICdb_hourly_median,weighted,6,237,24,0.1765728143951561,0.10126582278481013
SICdb_hourly_median,weighted,7,238,23,0.22936917227857254,0.09663865546218488
SICdb_hourly_median,weighted,8,237,27,0.3310508753176983,0.11392405063291139
SICdb_hourly_median,weighted,9,238,58,0.6153515934192834,0.24369747899159663
SICdb_hourly_median,unweighted,0,238,4,0.021070823034255944,0.01680672268907563
SICdb_hourly_median,unweighted,1,238,7,0.03347224839219526,0.029411764705882353
SICdb_hourly_median,unweighted,2,237,7,0.042669325186733456,0.029535864978902954
SICdb_hourly_median,unweighted,3,238,9,0.050802600640459224,0.037815126050420166
SICdb_hourly_median,unweighted,4,237,8,0.058818368547702136,0.03375527426160337
SICdb_hourly_median,unweighted,5,238,8,0.0678240750454554,0.03361344537815126
SICdb_hourly_median,unweighted,6,237,15,0.07831799421255095,0.06329113924050633
SICdb_hourly_median,unweighted,7,238,20,0.09167253755095627,0.08403361344537816
SICdb_hourly_median,unweighted,8,237,36,0.11332669684404059,0.1518987341772152
SICdb_hourly_median,unweighted,9,238,71,0.1941863583291278,0.29831932773109243
