feature,elastic_net_standardized_coefficient,elastic_net_absolute_coefficient,xgboost_mean_absolute_shap,interpretation_boundary
age,0.5866848,0.5866848,0.316084,descriptive_model_interpretation_not_causal
sex_male,0.0,0.0,0.006832301,descriptive_model_interpretation_not_causal
HR_median,0.0,0.0,0.05608643,descriptive_model_interpretation_not_causal
HR_extreme,0.18191928,0.18191928,0.14409491,descriptive_model_interpretation_not_causal
HR_sd,0.0,0.0,0.078096405,descriptive_model_interpretation_not_causal
HR_slope_per_hour,0.0,0.0,0.0341622,descriptive_model_interpretation_not_causal
HR_threshold_burden,0.26185003,0.26185003,0.093099885,descriptive_model_interpretation_not_causal
HR_valid_hour_fraction,0.0,0.0,0.017617218,descriptive_model_interpretation_not_causal
HR_longest_missing_streak_h,0.0,0.0,0.0039071133,descriptive_model_interpretation_not_causal
MAP_median,-0.031057388,0.031057388,0.08357174,descriptive_model_interpretation_not_causal
MAP_extreme,0.0,0.0,0.13038449,descriptive_model_interpretation_not_causal
MAP_sd,0.0,0.0,0.016478168,descriptive_model_interpretation_not_causal
MAP_slope_per_hour,0.058535844,0.058535844,0.08876389,descriptive_model_interpretation_not_causal
MAP_threshold_burden,0.21200132,0.21200132,0.06272255,descriptive_model_interpretation_not_causal
MAP_valid_hour_fraction,0.0,0.0,0.030048957,descriptive_model_interpretation_not_causal
MAP_longest_missing_streak_h,0.0,0.0,0.020758929,descriptive_model_interpretation_not_causal
SpO2_median,0.040057607,0.040057607,0.07737901,descriptive_model_interpretation_not_causal
SpO2_extreme,0.0,0.0,0.022350973,descriptive_model_interpretation_not_causal
SpO2_sd,0.10787692,0.10787692,0.053300757,descriptive_model_interpretation_not_causal
SpO2_slope_per_hour,0.071478754,0.071478754,0.07197884,descriptive_model_interpretation_not_causal
SpO2_threshold_burden,0.10089933,0.10089933,0.05427668,descriptive_model_interpretation_not_causal
SpO2_valid_hour_fraction,-0.3865996,0.3865996,0.24386193,descriptive_model_interpretation_not_causal
SpO2_longest_missing_streak_h,0.0,0.0,0.026826447,descriptive_model_interpretation_not_causal
missing__age,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__sex_male,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__HR_median,-0.009943835,0.009943835,0.0,descriptive_model_interpretation_not_causal
missing__HR_extreme,-0.009943835,0.009943835,0.0,descriptive_model_interpretation_not_causal
missing__HR_sd,-0.009943835,0.009943835,0.0,descriptive_model_interpretation_not_causal
missing__HR_slope_per_hour,-0.009943835,0.009943835,0.0,descriptive_model_interpretation_not_causal
missing__HR_threshold_burden,-0.009943835,0.009943835,0.0,descriptive_model_interpretation_not_causal
missing__HR_valid_hour_fraction,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__HR_longest_missing_streak_h,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__MAP_median,0.053605832,0.053605832,0.0,descriptive_model_interpretation_not_causal
missing__MAP_extreme,0.053605832,0.053605832,0.0,descriptive_model_interpretation_not_causal
missing__MAP_sd,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__MAP_slope_per_hour,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__MAP_threshold_burden,0.053605832,0.053605832,0.0,descriptive_model_interpretation_not_causal
missing__MAP_valid_hour_fraction,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__MAP_longest_missing_streak_h,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__SpO2_median,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__SpO2_extreme,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__SpO2_sd,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__SpO2_slope_per_hour,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__SpO2_threshold_burden,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__SpO2_valid_hour_fraction,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
missing__SpO2_longest_missing_streak_h,0.0,0.0,0.0,descriptive_model_interpretation_not_causal
