dataset,validation,contrast,metric,estimate,ci_low,ci_high,bootstrap_replicates,paired_patient_resampling
MIMIC-IV,repeated_5x5_oof_patient_mean,model1_elastic_net_minus_model0_snapshot,auroc,0.08672603901611542,0.05359755340919671,0.12033518210654842,2000,True
MIMIC-IV,repeated_5x5_oof_patient_mean,model1_elastic_net_minus_model0_snapshot,auprc,0.07716143729688721,0.027348249083714336,0.13384428068584417,2000,True
MIMIC-IV,repeated_5x5_oof_patient_mean,model1_elastic_net_minus_model0_snapshot,brier,-0.00408080783166323,-0.0072415776984149655,-0.0009759885174713003,2000,True
MIMIC-IV,repeated_5x5_oof_patient_mean,model1_elastic_net_minus_model0_snapshot,log_loss,-0.020128173226056534,-0.030624356219303782,-0.010343197650143339,2000,True
MIMIC-IV,repeated_5x5_oof_patient_mean,model2_xgboost_minus_model0_snapshot,auroc,0.09979325699745556,0.06271181493960162,0.13658205474060026,2000,True
MIMIC-IV,repeated_5x5_oof_patient_mean,model2_xgboost_minus_model0_snapshot,auprc,0.07571879016850883,0.025152361717252394,0.12948827189972203,2000,True
MIMIC-IV,repeated_5x5_oof_patient_mean,model2_xgboost_minus_model0_snapshot,brier,-0.0047599120880351675,-0.00758096017216731,-0.002037016681165976,2000,True
MIMIC-IV,repeated_5x5_oof_patient_mean,model2_xgboost_minus_model0_snapshot,log_loss,-0.023747310260349985,-0.03368411730457641,-0.013722399915925896,2000,True
SICdb,locked_external_hourly_median,model1_elastic_net_minus_model0_snapshot,auroc,0.04014703886908355,0.01903440524363221,0.06282235753944669,2000,True
SICdb,locked_external_hourly_median,model1_elastic_net_minus_model0_snapshot,auprc,0.04469240322902898,0.00773368755830942,0.08803843330895784,2000,True
SICdb,locked_external_hourly_median,model1_elastic_net_minus_model0_snapshot,brier,-0.001727703140708317,-0.003064641969040539,-0.0003564878255672456,2000,True
SICdb,locked_external_hourly_median,model1_elastic_net_minus_model0_snapshot,log_loss,-0.009834833227136963,-0.015013172775080803,-0.004416429492909941,2000,True
SICdb,locked_external_hourly_median,model2_xgboost_minus_model0_snapshot,auroc,0.011891398472868131,-0.013569768780508548,0.03849021902228298,2000,True
SICdb,locked_external_hourly_median,model2_xgboost_minus_model0_snapshot,auprc,-0.004741655891421004,-0.04152784619536248,0.03570015480054359,2000,True
SICdb,locked_external_hourly_median,model2_xgboost_minus_model0_snapshot,brier,-0.000337776971283954,-0.0015981268277409542,0.0009170476064443476,2000,True
SICdb,locked_external_hourly_median,model2_xgboost_minus_model0_snapshot,log_loss,-0.002385873682548445,-0.007949190222573956,0.0035089272817603505,2000,True
