dataset,n,events,event_rate_percent,model,auroc,auprc,brier,log_loss,calibration_intercept,calibration_slope
MIMIC-IV,1740,168,9.655172413793103,model0_snapshot,0.676 (0.634 to 0.717),0.194 (0.155 to 0.251),0.084 (0.073 to 0.095),0.299 (0.269 to 0.331),0.006 (-0.166 to 0.169),0.937 (0.711 to 1.186)
MIMIC-IV,1740,168,9.655172413793103,model1_elastic_net,0.763 (0.723 to 0.801),0.271 (0.221 to 0.345),0.080 (0.070 to 0.090),0.279 (0.250 to 0.310),-0.011 (-0.185 to 0.152),1.028 (0.831 to 1.255)
MIMIC-IV,1740,168,9.655172413793103,model2_xgboost,0.776 (0.738 to 0.813),0.270 (0.221 to 0.337),0.079 (0.069 to 0.089),0.275 (0.246 to 0.305),0.027 (-0.144 to 0.192),1.112 (0.931 to 1.311)
MIMIC-IV,1740,168,9.655172413793103,model3_grud,0.739 (0.699 to 0.781),0.263 (0.211 to 0.334),0.176 (0.168 to 0.185),0.533 (0.513 to 0.553),-2.059 (-2.235 to -1.891),0.890 (0.726 to 1.071)
SICdb,2376,185,7.786195286195286,model0_snapshot,0.738 (0.698 to 0.774),0.236 (0.184 to 0.297),0.067 (0.059 to 0.076),0.248 (0.225 to 0.273),-0.000 (-0.144 to 0.144),1.463 (1.185 to 1.753)
SICdb,2376,185,7.786195286195286,model1_elastic_net,0.779 (0.741 to 0.812),0.281 (0.226 to 0.351),0.065 (0.058 to 0.074),0.238 (0.214 to 0.265),0.243 (0.095 to 0.390),1.293 (1.083 to 1.520)
SICdb,2376,185,7.786195286195286,model2_xgboost,0.750 (0.709 to 0.787),0.231 (0.185 to 0.295),0.067 (0.059 to 0.075),0.245 (0.221 to 0.272),0.184 (0.035 to 0.332),1.184 (1.004 to 1.379)
SICdb,2376,185,7.786195286195286,model3_grud,0.721 (0.680 to 0.759),0.224 (0.175 to 0.285),0.090 (0.083 to 0.097),0.314 (0.296 to 0.334),-1.229 (-1.402 to -1.056),0.659 (0.547 to 0.772)
MIMIC-IV,1740,168,9.655172413793103,model12h_level_only,0.713 (0.669 to 0.754),0.237 (0.186 to 0.300),0.082 (0.071 to 0.092),0.291 (0.260 to 0.321),0.001 (−0.175 to 0.158),1.076 (0.838 to 1.320)
SICdb,2376,185,7.786195286195287,model12h_level_only,0.765 (0.728 to 0.802),0.242 (0.193 to 0.308),0.066 (0.058 to 0.075),0.241 (0.217 to 0.267),0.003 (−0.165 to 0.152),1.353 (1.128 to 1.604)
