model,contrast,metric,estimate,ci_low,ci_high,bootstrap_replicates,paired_patient_resampling,estimate_95ci
model1_elastic_net,5min_minus_60min,auroc,0.0072882354980756,-0.0007393495024399,0.0155799563646767,2000,True,0.007 (-0.001 to 0.016)
model1_elastic_net,5min_minus_60min,auprc,0.0085085144975009,-0.0045244494258878,0.0228878569842001,2000,True,0.009 (-0.005 to 0.023)
model1_elastic_net,5min_minus_60min,brier,-0.0003830342051856,-0.0008395711261684,4.7537245784985554e-05,2000,True,-0.000 (-0.001 to 0.000)
model1_elastic_net,5min_minus_60min,log_loss,-0.0018298556937233,-0.0036171306927492,-0.0001562041798952,2000,True,-0.002 (-0.004 to -0.000)
model2_xgboost,5min_minus_60min,auroc,0.0188308311084913,-0.0011904972367796,0.0408147314975797,2000,True,0.019 (-0.001 to 0.041)
model2_xgboost,5min_minus_60min,auprc,0.0214227173991528,-0.0048567482043625,0.0503441195322835,2000,True,0.021 (-0.005 to 0.050)
model2_xgboost,5min_minus_60min,brier,-0.0009812764917754,-0.0019003761620369,-6.785860878415804e-05,2000,True,-0.001 (-0.002 to -0.000)
model2_xgboost,5min_minus_60min,log_loss,-0.0047180822838919,-0.0091060115461336,-0.0004707190025125,2000,True,-0.005 (-0.009 to -0.000)
model3_grud,5min_minus_60min,auroc,0.0020248951145939,-0.019874059543628,0.0238933452295888,2000,True,0.002 (-0.020 to 0.024)
model3_grud,5min_minus_60min,auprc,0.025115160151212,-0.0104154077209847,0.0535127210416893,2000,True,0.025 (-0.010 to 0.054)
model3_grud,5min_minus_60min,brier,0.0009005712419789,-0.0034139044807292,0.0050275340150055,2000,True,0.001 (-0.003 to 0.005)
model3_grud,5min_minus_60min,log_loss,0.0036324441220786,-0.0065148192892611,0.0131964428960536,2000,True,0.004 (-0.007 to 0.013)
